booking_id,start_day,length_of_stay,price_per_night,show_probability,segment,notes
1,12,2,190,0.975,VIP,VIP synthetic booking
2,18,4,140,0.88,RET,RET synthetic booking
3,40,1,160,0.836,BUS,BUS synthetic booking
4,30,3,170,0.846,RET,RET synthetic booking
5,43,2,90,0.881,RET,RET synthetic booking
6,12,6,170,0.893,RET,RET synthetic booking
7,52,2,150,0.87,RET,RET synthetic booking
8,6,2,90,0.882,RET,RET synthetic booking
9,13,1,110,0.815,GRP,GRP synthetic booking
10,19,1,140,0.908,RET,RET synthetic booking
11,46,2,100,0.861,RET,RET synthetic booking
12,6,2,140,0.861,BUS,BUS synthetic booking
13,11,1,140,0.802,BUS,BUS synthetic booking
14,32,2,150,0.829,RET,RET synthetic booking
15,32,2,150,0.842,GRP,GRP synthetic booking
16,19,2,100,0.895,RET,RET synthetic booking
17,56,2,150,0.866,RET,RET synthetic booking
18,6,2,80,0.771,DIS,DIS synthetic booking
19,47,3,120,0.811,GRP,GRP synthetic booking
20,14,5,210,0.972,VIP,VIP synthetic booking
21,32,1,110,0.808,GRP,GRP synthetic booking
22,47,3,120,0.831,BUS,BUS synthetic booking
23,37,1,180,0.835,BUS,BUS synthetic booking
24,27,4,270,0.984,VIP,VIP synthetic booking
25,18,7,120,0.912,RET,RET synthetic booking
26,30,1,140,0.844,BUS,BUS synthetic booking
27,52,5,150,0.866,RET,RET synthetic booking
28,41,4,150,0.804,GRP,GRP synthetic booking
29,6,1,150,0.845,RET,RET synthetic booking
30,41,2,160,0.812,BUS,BUS synthetic booking
31,28,3,80,0.863,DIS,DIS synthetic booking
32,4,1,130,0.795,GRP,GRP synthetic booking
33,39,1,120,0.895,RET,RET synthetic booking
34,50,4,160,0.86,BUS,BUS synthetic booking
35,54,2,130,0.892,RET,RET synthetic booking
36,54,1,170,0.904,RET,RET synthetic booking
37,52,3,220,0.796,BUS,BUS synthetic booking
38,47,1,100,0.89,RET,RET synthetic booking
39,58,2,140,0.945,RET,RET synthetic booking
40,25,1,130,0.913,RET,RET synthetic booking
41,20,3,170,0.874,RET,RET synthetic booking
42,25,2,150,0.808,BUS,BUS synthetic booking
43,47,3,170,0.825,RET,RET synthetic booking
44,51,3,120,0.834,BUS,BUS synthetic booking
45,12,1,100,0.817,GRP,GRP synthetic booking
46,19,3,70,0.767,DIS,DIS synthetic booking
47,56,3,90,0.8,DIS,DIS synthetic booking
48,8,3,190,0.947,VIP,VIP synthetic booking
49,31,2,180,0.832,BUS,BUS synthetic booking
50,44,2,140,0.829,RET,RET synthetic booking
51,33,3,90,0.707,DIS,DIS synthetic booking
52,39,2,100,0.879,RET,RET synthetic booking
53,12,5,170,0.864,RET,RET synthetic booking
54,11,5,200,0.877,BUS,BUS synthetic booking
55,29,1,140,0.855,RET,RET synthetic booking
56,20,3,90,0.774,DIS,DIS synthetic booking
57,2,1,130,0.913,RET,RET synthetic booking
58,37,4,240,0.938,VIP,VIP synthetic booking
59,5,1,120,0.848,BUS,BUS synthetic booking
60,59,2,90,0.834,GRP,GRP synthetic booking
61,24,6,120,0.828,RET,RET synthetic booking
62,10,1,210,0.835,BUS,BUS synthetic booking
63,23,2,260,0.921,VIP,VIP synthetic booking
64,27,2,130,0.821,GRP,GRP synthetic booking
65,52,1,100,0.884,GRP,GRP synthetic booking
66,30,2,90,0.782,DIS,DIS synthetic booking
67,60,1,170,0.828,BUS,BUS synthetic booking
68,18,3,130,0.934,RET,RET synthetic booking
69,22,3,240,0.896,VIP,VIP synthetic booking
70,31,6,100,0.774,GRP,GRP synthetic booking
71,15,2,150,0.884,RET,RET synthetic booking
72,4,1,120,0.78,DIS,DIS synthetic booking
73,25,4,110,0.847,RET,RET synthetic booking
74,26,1,100,0.866,RET,RET synthetic booking
75,24,4,120,0.85,BUS,BUS synthetic booking
76,35,2,150,0.875,RET,RET synthetic booking
77,5,5,90,0.842,RET,RET synthetic booking
78,2,4,140,0.885,RET,RET synthetic booking
79,26,1,150,0.875,RET,RET synthetic booking
80,16,4,110,0.717,DIS,DIS synthetic booking
81,2,1,90,0.768,GRP,GRP synthetic booking
82,24,7,170,0.839,RET,RET synthetic booking
83,33,3,130,0.846,RET,RET synthetic booking
84,37,3,100,0.781,DIS,DIS synthetic booking
85,40,3,180,0.805,BUS,BUS synthetic booking
86,1,3,110,0.874,RET,RET synthetic booking
87,36,1,210,0.836,BUS,BUS synthetic booking
88,15,5,110,0.88,RET,RET synthetic booking
89,23,2,120,0.829,RET,RET synthetic booking
90,46,1,130,0.87,BUS,BUS synthetic booking
91,48,1,260,0.969,VIP,VIP synthetic booking
92,55,2,110,0.863,RET,RET synthetic booking
93,24,3,100,0.876,RET,RET synthetic booking
94,32,2,110,0.895,RET,RET synthetic booking
95,22,4,130,0.801,BUS,BUS synthetic booking
96,57,2,80,0.786,DIS,DIS synthetic booking
97,28,3,140,0.838,RET,RET synthetic booking
98,24,1,120,0.854,RET,RET synthetic booking
99,49,2,80,0.811,DIS,DIS synthetic booking
100,52,5,80,0.797,DIS,DIS synthetic booking
101,40,1,70,0.786,DIS,DIS synthetic booking
102,10,3,100,0.821,RET,RET synthetic booking
103,13,1,220,0.796,BUS,BUS synthetic booking
104,5,2,190,0.821,BUS,BUS synthetic booking
105,5,5,160,0.828,BUS,BUS synthetic booking
106,57,1,120,0.868,RET,RET synthetic booking
107,21,1,250,0.953,VIP,VIP synthetic booking
108,3,4,200,0.78,BUS,BUS synthetic booking
109,30,1,130,0.849,BUS,BUS synthetic booking
110,42,2,140,0.822,GRP,GRP synthetic booking
111,33,2,90,0.815,DIS,DIS synthetic booking
112,38,1,80,0.788,DIS,DIS synthetic booking
113,35,3,100,0.858,RET,RET synthetic booking
114,59,2,90,0.866,RET,RET synthetic booking
115,7,2,110,0.891,RET,RET synthetic booking
116,25,3,130,0.891,RET,RET synthetic booking
117,47,3,130,0.804,GRP,GRP synthetic booking
118,39,1,150,0.823,RET,RET synthetic booking
119,28,2,150,0.864,RET,RET synthetic booking
120,6,3,170,0.819,BUS,BUS synthetic booking
121,22,2,210,0.789,BUS,BUS synthetic booking
122,2,3,150,0.82,BUS,BUS synthetic booking
